material_id,formula,band_gap,formation_energy_per_atom,energy_above_hull,is_metal,is_stable,nsites,density,nelements,elements,chemsys,key
mp-605018,NaAgH16C4S4(NO5)2,4.119,-0.8186666534354211,0.270577942041342,False,False,152,1.874181130313477,7,"['Ag', 'C', 'H', 'N', 'Na', 'O', 'S']",Ag-C-H-N-Na-O-S,NaAgH16C4S4(NO5)2
mp-1204019,NdAgH10C20(N3O4)2,3.0097,-0.564743396123189,0.217189995840865,False,False,92,2.241567298270407,6,"['Ag', 'C', 'H', 'N', 'Nd', 'O']",Ag-C-H-N-Nd-O,NdAgH10C20(N3O4)2
mp-1221003,NdAgH18C20(NO2)6,3.032499999999999,-0.6695475964942531,0.224069874114582,False,False,116,2.110563484183268,6,"['Ag', 'C', 'H', 'N', 'Nd', 'O']",Ag-C-H-N-Nd-O,NdAgH18C20(NO2)6
mp-698351,AgH6C4(NO)2,2.4611,-0.440255720444444,0.203998045305556,False,False,60,2.5813264653124293,5,"['Ag', 'C', 'H', 'N', 'O']",Ag-C-H-N-O,AgH6C4(NO)2
mp-707277,AgH2C2N3O,3.2954,-0.367248163935186,0.152277407546297,False,False,72,2.940179155603447,5,"['Ag', 'C', 'H', 'N', 'O']",Ag-C-H-N-O,AgH2C2N3O
mp-707364,AgH3CN3O4,0.8284,-0.518342588055556,0.455123732916665,False,False,96,2.665176430571196,5,"['Ag', 'C', 'H', 'N', 'O']",Ag-C-H-N-O,AgH3CN3O4
mp-560619,AgH12C6N5O3,2.9047,-0.239116625246914,0.375099110459103,False,False,108,2.077058660541296,5,"['Ag', 'C', 'H', 'N', 'O']",Ag-C-H-N-O,AgH12C6N5O3
mp-1196868,Ag2H2C2N6O13,1.8311,-0.541692375333332,0.3936339904,False,False,100,2.807877728568972,5,"['Ag', 'C', 'H', 'N', 'O']",Ag-C-H-N-O,Ag2H2C2N6O13
mp-1201826,AgH9C2(NO)2,3.2944,-0.597249519869792,0.073318955891927,False,False,64,2.133016398577587,5,"['Ag', 'C', 'H', 'N', 'O']",Ag-C-H-N-O,AgH9C2(NO)2
mp-1202721,AgH6C2N5O4,1.992,-0.453102408009259,0.395274969166665,False,False,72,2.274215787956922,5,"['Ag', 'C', 'H', 'N', 'O']",Ag-C-H-N-O,AgH6C2N5O4
mp-1204011,AgH7CN8O7,2.2819,-0.403799532309027,0.449399466510416,False,False,96,2.154300974523599,5,"['Ag', 'C', 'H', 'N', 'O']",Ag-C-H-N-O,AgH7CN8O7
mp-1215103,AgH12C6N13O3,3.1463,-0.418916621190477,0.094305216309522,False,False,70,1.7184942931709382,5,"['Ag', 'C', 'H', 'N', 'O']",Ag-C-H-N-O,AgH12C6N13O3
mp-1195948,AgHPbC2SN2O,3.1811,-0.348111200879629,0.246219237654321,False,False,36,4.162031309862073,7,"['Ag', 'C', 'H', 'N', 'O', 'Pb', 'S']",Ag-C-H-N-O-Pb-S,AgHPbC2SN2O
mp-1196463,AgH12C4S2N5O3,2.8994,-0.423450542746914,0.23242690473545,False,False,108,1.84640490393808,6,"['Ag', 'C', 'H', 'N', 'O', 'S']",Ag-C-H-N-O-S,AgH12C4S2N5O3
mp-1200006,AgH8C3S2NO3,2.8782,-0.376759801446758,0.402308502340275,False,False,288,2.117953827374915,6,"['Ag', 'C', 'H', 'N', 'O', 'S']",Ag-C-H-N-O-S,AgH8C3S2NO3
mp-1199708,TbAgH10C20(N3O4)2,2.9502,-0.567809149692028,0.213014794454255,False,False,92,2.347477204297939,6,"['Ag', 'C', 'H', 'N', 'O', 'Tb']",Ag-C-H-N-O-Tb,TbAgH10C20(N3O4)2
mp-23772,TbAg3H6C6(N2O)3,2.5854,-0.474909126966666,0.292346430937505,False,False,50,3.139331855196344,6,"['Ag', 'C', 'H', 'N', 'O', 'Tb']",Ag-C-H-N-O-Tb,TbAg3H6C6(N2O)3
mp-1217856,TbAgH18C20(NO2)6,2.9866,-0.6707254437212641,0.219272958302792,False,False,116,2.192752225689634,6,"['Ag', 'C', 'H', 'N', 'O', 'Tb']",Ag-C-H-N-O-Tb,TbAgH18C20(NO2)6
mp-698405,AgH12C4S5N,1.8235,-0.234531712137681,0.082859343198758,False,False,46,1.824221927264303,5,"['Ag', 'C', 'H', 'N', 'S']",Ag-C-H-N-S,AgH12C4S5N
mp-1192660,AgH2CS2N,1.9599,-0.263110987738095,0.075084745145772,False,False,28,3.245481901927807,5,"['Ag', 'C', 'H', 'N', 'S']",Ag-C-H-N-S,AgH2CS2N
